Player,Team 1,Team 2,Team 3,Status,–,-
ThatSoftwareGuy,2056,1807,1023,List,,
BrennanB,3707,1923,1684,Live Picking,,
ChanOH7x7,1114,868,4362,Live Picking,,
Max_Boord,2767,5190,3641,Live Picking,,
Brian_Maher,330,111,548,Live Picking,,
Akod,5460,319,2337,List,,
KaranY,5406,1073,3604,Live Picking,,
Nomythicalbeast,3538,930,1747,Live Picking,,
MikLast,33B,2168,5511,List,,
rkap51,2910,1241,7498,Live Picking,,
Darre,195,2468,4028,Live Picking,,
CupofJoe,6443,340,3940,MIA,,
Golfer4646,2481,3847,234,Live Picking,,
Cbrosch0,364,118,1676,Live Picking,,
Erik2175,1690,217,2075,Live Picking,,
SPang,910,225,2403,Live Picking,,
Available Teams,,,,,,
48,51,88,107,461,1024,1410
1718,1720,1730,2614,3357,3478,4265
4607,4776,5010,5205,5801,7457,-
